city,name,slug,address,phone,cuisines,halal,lat,lng
tampa,Galata Mediterranean Grill & Market,,"Tampa, FL",,mediterranean,reported,,
tampa,Mana Mana Middle Eastern Restaurant,,"Downtown Clearwater, FL",,palestinian,unknown,,
tampa,Kebab House,,"Clearwater, FL",,mediterranean,unknown,,
tampa,Cafe Sahara Mediterranean Cuisine,,"Clearwater / Largo, FL",,mediterranean,unknown,,
tampa,East Bistro - The Mediterranean Eatery,,"Clearwater / Largo, FL",,mediterranean,unknown,,
tampa,Madelines Falafel & Shawarma,,"Clearwater / Palm Harbor, FL",,mediterranean,unknown,,
tampa,Mio's Grill & Cafe,,"St Petersburg, FL",,mediterranean,unknown,,
tampa,Athenian's Gyros & Chicken,,"St Petersburg, FL",,mediterranean,unknown,,
tampa,Abu Naji Restaurant,,"4819 E Busch Blvd, Tampa, FL",,yemeni|iraqi,reported,,
tampa,Taste of Yemen,,"Temple Terrace, FL",,yemeni,reported,,
tampa,Darna Mediterranean Grill,,"Temple Terrace area, FL",,mediterranean,reported,,
tampa,Shawarma Elshami,,"Tampa, FL",,syrian,reported,,
tampa,Greenland Grill / Green Land Restaurant,,"Wesley Chapel, FL",,mediterranean,reported,,
tampa,Jerusalem Grill & Deli,,"Wesley Chapel, FL",,palestinian,reported,,
tampa,Kabob Cafe & Grill,,"Wesley Chapel, FL",,mediterranean,reported,,
tampa,Gengiz Khan,,"Tampa, FL",,mediterranean,unknown,,
tampa,Salem's Fresh Eats,,"Multiple Tampa locations, FL",,mediterranean,reported,,
tampa,Acropolis Greek Taverna,,"Ybor City + locations, FL",,mediterranean,unknown,,
tampa,Louis Pappas Fresh Greek,,"Multiple Tampa Bay locations, FL",,mediterranean,unknown,,
tampa,Skewers Mediterranean Grille,,"St Petersburg, FL",,mediterranean,unknown,,
tampa,Alaturka Mediterranean Grill & Bakery,,"Palm Harbor, FL",,mediterranean,unknown,,
tampa,Wraps and Kabobs,,"Palm Harbor, FL",,mediterranean,unknown,,
tampa,Little Gyro Restaurant,,"Palm Harbor, FL",,mediterranean,unknown,,
tampa,Taza Mediterranean Grill,,"Palm Harbor, FL",,mediterranean,unknown,,
tampa,The Green Table Restaurant,,"Palm Harbor, FL",,mediterranean,unknown,,
tampa,The Shawarma Trap,,"Largo, FL",,mediterranean,unknown,,
tampa,Cedars Grill,,"Largo, FL",,lebanese,unknown,,
tampa,Zaytoon Grill,,"Largo, FL",,mediterranean,reported,,
tampa,Pita Fresh Express,,"Brandon, FL",,mediterranean,reported,,
tampa,Shawarmaz Mediterranean Restaurant & Grill,,"Tampa Bay area, FL",,mediterranean,unknown,,
dearborn,Al Ameer Restaurant,,"12710 W Warren Ave, Dearborn, MI",,lebanese,reported,,
dearborn,Al Ameer (Dearborn Heights),,"Dearborn Heights, MI",,lebanese,reported,,
dearborn,Hamido Restaurant,,"W Warren Ave, Dearborn, MI",,lebanese,reported,,
dearborn,Sheeba Restaurant (Dearborn),,"East Dearborn, MI",,yemeni,reported,,
dearborn,Al Tayeb Restaurant,,"Dearborn, MI",,mediterranean,reported,,
dearborn,Al Chabab Restaurant,,"Dearborn, MI",,syrian,reported,,
dearborn,Malek Al Kabob,,"Dearborn + other locations, MI",,lebanese,unknown,,
dearborn,Zaytoona Mediterranean Grill,,"Dearborn, MI",,mediterranean,unknown,,
dearborn,The Butcher's Grille,,"Downtown Dearborn, MI",,lebanese,unknown,,
dearborn,Yemen Kitchen,,"Dearborn, MI",,yemeni,reported,,
dearborn,Darbunah,,"East Dearborn, MI",,iraqi,reported,,
dearborn,Tuhama's,,"10613 W Warren Ave, Dearborn, MI",,mediterranean,reported,,
dearborn,Zaatar W Zeit,,"10303 W Warren Ave, Dearborn, MI",,lebanese,unknown,,
dearborn,Avenue Brunch House,,"Dearborn, MI",,mediterranean,reported,,
dearborn,Shamiat Restaurant,,"Dearborn, MI",,syrian,reported,,
dearborn,Cedarland Restaurant,,"Dearborn, MI",,lebanese,reported,,
dearborn,Habib's Cuisine,,"Dearborn, MI",,lebanese,reported,,
dearborn,Amani's Restaurant,,"Dearborn, MI",,lebanese,reported,,
dearborn,La Pita (Dearborn),,"Dearborn, MI",,lebanese,reported,,
dearborn,Shatila Bakery,,"14300 W Warren Ave, Dearborn, MI",,lebanese,unknown,,
dearborn,New Yasmeen Bakery,,"W Warren Ave, Dearborn, MI",,lebanese,unknown,,
dearborn,M&M Cafe,,"Dearborn, MI",,lebanese,reported,,
dearborn,Qahwah House,,"Dearborn (HQ) + franchise locations, MI",,yemeni,unknown,,
dearborn,Haraz Coffee House,,"Dearborn (HQ) + franchise locations, MI",,yemeni,unknown,,
dearborn,Al-Ajami Restaurant,,"Dearborn, MI",,lebanese,reported,,
dearborn,Ollie's Lebanese Cuisine,,"Dearborn, MI",,lebanese,reported,,
dearborn,Bucharest Grill,,"Detroit (4 locations), MI",,lebanese,unknown,,
dearborn,Leila,,"Downtown Detroit, MI",,lebanese,unknown,,
dearborn,Golden Fleece,,"Greektown, Detroit, MI",,mediterranean,unknown,,
dearborn,Detroit 75 Kitchen,,"SW Detroit, MI",,lebanese,unknown,,
dearborn,Yemen Cafe,,"Hamtramck, MI",,yemeni,reported,,
dearborn,Sheeba Restaurant (Hamtramck),,"Hamtramck, MI",,yemeni,reported,,
dearborn,Royal Kabob,,"Hamtramck, MI",,mediterranean,reported,,
dearborn,Boostan Cafe,,"Hamtramck, MI",,yemeni,unknown,,
dearborn,Taj Al Yemen Restaurant & Cafe,,"Hamtramck, MI",,yemeni,reported,,
dearborn,Tahama Sandwiches,,"Hamtramck, MI",,yemeni,unknown,,
dearborn,Hala Beirut,,"Hamtramck, MI",,lebanese,reported,,
dearborn,La Marsa (Hamtramck),,"Hamtramck, MI",,mediterranean,reported,,
dearborn,Balkan House,,"Hamtramck, MI",,mediterranean,reported,,
dearborn,Remas,,"Hamtramck, MI",,yemeni,unknown,,
dearborn,Mezza Mediterranean Grill,,"Dearborn Heights, MI",,lebanese,unknown,,
dearborn,Beirut Bakery,,"Livonia (metro Detroit), MI",,lebanese,unknown,,
dearborn,Al Ameer Catering / Banquets,,"Dearborn, MI",,lebanese,unknown,,
miami,Amal,,"3480 Main Hwy, Miami, FL 33133",,lebanese,unknown,,
miami,Mint Beirut,,"4249 W Flagler St, Miami, FL 33126",,lebanese,unknown,,
miami,Sahara Grill,,"10526 SW 8th St, Miami, FL 33174",,mediterranean,unknown,,
miami,Lira House,,"2000 NW 2nd Ave, Miami, FL 33127",,lebanese,unknown,,
miami,Marhaba Lebanese Cuisine,,"1533 Madruga Ave, Coral Gables, FL 33146",,lebanese,unknown,,
miami,Delights of Beirut,,"6907 S Red Rd, Coral Gables, FL 33143",,lebanese,unknown,,
miami,Shishka Lebanese Grill,,"1901 N Federal Hwy, Pompano Beach, FL 33062",,lebanese,unknown,,
miami,Sirocco Mediterranean Restaurant & Lounge,,"170 N Pointe Dr, Dania Beach, FL 33004",,lebanese|mediterranean,unknown,,
miami,Shawarmaz Mediterranean Restaurant & Grill,,"14445 Miramar Pkwy, Miramar, FL 33027",,lebanese|mediterranean,unknown,,
miami,Naya Grill,,"281 S Pompano Pkwy, Pompano Beach, FL 33069",,lebanese|mediterranean,unknown,,
miami,Shahs of Kabob,,"2703 E Commercial Blvd, Fort Lauderdale, FL 33308",,mediterranean,reported,,
miami,La Vie Mediterranean Restaurant,,"1540 Palm Beach Lakes Blvd, West Palm Beach, FL 33401",,lebanese|mediterranean,unknown,,
miami,Leila Restaurant,,"120 S Dixie Hwy, West Palm Beach, FL 33401",,lebanese|mediterranean,unknown,,
miami,Al Najim Bakery & Restaurant,,"179 SE Mizner Blvd, Boca Raton, FL 33432",,lebanese,reported,,
